Name,City,State,ZIP,Phone,Address,Website,Latitude,Longitude,Residential Services,All Services
Ford Street Project,Ukiah,CA,95482,707-462-6290,,http://fordstreet.org,39.1586264,-123.2054737,Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential,"Substance use treatment; Detoxification; Transitional housing, halfway house, or sober home; Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Private non-profit organization; State Substance use treatment agency; State department of health; IHS/Tribal/Urban (ITU) funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; Clients who have experienced trauma; Comprehensive substance use assessment; Screening for tobacco use; Screening for substance use; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Housing services; Assistance with obtaining social services; Mentoring/peer support; Employment counseling or training; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; Medication routinely used during detoxification; Substance use disorder education; Individual counseling; Group counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping permitted in designated area; Case management service; Social skills development"
Community Social Model Advocates Inc,Atwater,CA,95301,209-357-5200,,http://www.csmainc.org,37.3507226,-120.5906251,Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential,"Substance use treatment; Detoxification; Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; Private non-profit organization; State Substance use treatment agency; State department of health; Federally Qualified Health Center; Federal, or any government funding for substance use treatment programs; Cash or self-payment; Young adults; Adult women; Pregnant/postpartum women; Seniors or older adults; Veterans; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; HIV testing; TB screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Mentoring/peer support; Employment counseling or training; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Young Adults; Adults; Female; Sign language services for the deaf and hard of hearing; Spanish; Vaping not permitted; Residential beds for clients' children; Domestic violence services, including family or partner; Early intervention for HIV; Social skills development; Integrated primary care services"
Midvalley Recovery Facilities Inc,Marysville,CA,95901,530-674-4530,,http://yspathways.net,39.1450378,-121.5839202,Outpatient; Residential/24-hour residential; Outpatient day treatment or partial hospitalization; Intensive outpatient treatment; Regular outpatient treatment; Residential detoxification; Long-term residential; Short-term residential,"Substance use treatment; Detoxification; Outpatient; Residential/24-hour residential; Outpatient day treatment or partial hospitalization; Intensive outpatient treatment; Regular outpatient treatment; Residential detoxification; Long-term residential; Short-term residential; Buprenorphine used in Treatment; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Buprenorphine detoxification; Buprenorphine maintenance; Accepts clients using MAT but prescribed elsewhere; Buprenorphine with naloxone; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Relapse prevention; Substance use disorder counseling; 12-step facilitation; Private non-profit organization; State Substance use treatment agency; IHS/Tribal/Urban (ITU) funds; Private health insurance; Cash or self-payment; Criminal justice (other than DUI/DWI)/Forensic clients; Comprehensive substance use assessment; Outreach to persons in the community; Screening for substance use; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Alcohol Detoxification; Benzodiazepines Detoxification; Opioids detoxification; Medication routinely used during detoxification; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Substance use disorder education; Individual counseling; Group counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Sign language services for the deaf and hard of hearing; Vaping not permitted; Case management service"
Buddys Ranch LLC,Marysville,CA,95901,530-632-8219,,https://www.buddysranch.com,39.1304018,-121.531597,Residential/24-hour residential; Residential detoxification; Short-term residential,"Substance use treatment; Detoxification; Residential/24-hour residential; Residential detoxification; Short-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; In-network prescribing entity; Other contracted prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; This facility administers/prescribes medication for alcohol use disorder; Other contracted prescribing entity; Buprenorphine detoxification; Buprenorphine maintenance; Prescribes buprenorphine; Prescribes naltrexone; Relapse prevention with naltrexone; Accepts clients using MAT but prescribed elsewhere; Lofexidine or Clonidine detoxification; Maintenance service with medically supervised withdrawal after stabilization; Disulfiram; Buprenorphine with naloxone; Buprenorphine without naloxone; Naltrexone (oral); Clonidine; Medication for mental disorders; Nicotine replacement; Non-nicotine smoking/tobacco cessation; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; Telemedicine/telehealth therapy; 12-step facilitation; Private for-profit organization; State Substance use treatment agency; State department of health; The Joint Commission; IHS/Tribal/Urban (ITU) funds; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; Adolescents; Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive mental health assessment; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; Treatment for gambling disorder; Treatment for other addiction disorder; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; Medication routinely used during detoxification; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping permitted in designated area; Case management service; Domestic violence services, including family or partner; Mental health services; Social skills development; Transportation assistance; Suicide prevention services"
Progress House Inc,Lotus,CA,95651,530-863-5863,,http://www.progresshouseinc.org,38.8083194,-120.9079542,Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient treatment; Long-term residential,"Substance use treatment; Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient treatment; Long-term residential; Buprenorphine used in Treatment; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Buprenorphine maintenance; Prescribes buprenorphine; Accepts clients using MAT but prescribed elsewhere; Buprenorphine with naloxone; Buprenorphine without naloxone; Anger management; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Private non-profit organization; State Substance use treatment agency; Federal, or any government funding for substance use treatment programs; IHS/Tribal/Urban (ITU) funds; Cash or self-payment; Adult men; Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; Discharge Planning; Outcome follow-up after discharge; Self-help groups; Recovery coach; Employment counseling or training; Substance use disorder education; Individual counseling; Group counseling; Smoking permitted in designated area; Young Adults; Adults; Male; Vaping not permitted; Case management service"
Progress House Inc,Garden Valley,CA,95633,530-863-5863,,http://www.progresshouseinc.org,38.8375858,-120.8764883,Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient treatment; Long-term residential,"Substance use treatment; Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient treatment; Long-term residential; Buprenorphine used in Treatment; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Buprenorphine maintenance; Prescribes buprenorphine; Accepts clients using MAT but prescribed elsewhere; Buprenorphine with naloxone; Buprenorphine without naloxone; Anger management; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Private non-profit organization; State Substance use treatment agency; Federal, or any government funding for substance use treatment programs; IHS/Tribal/Urban (ITU) funds; Cash or self-payment; Adult men; Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; Discharge Planning; Outcome follow-up after discharge; Self-help groups; Recovery coach; Employment counseling or training; Substance use disorder education; Individual counseling; Group counseling; Smoking not permitted; Young Adults; Adults; Male; Vaping not permitted; Case management service"
Community Social Model Advocates Inc,Merced,CA,95340,209-722-6335,,http://www.csmainc.org,37.2954276,-120.4594272,Residential/24-hour residential; Long-term residential; Short-term residential,"Substance use treatment; Residential/24-hour residential; Long-term residential; Short-term residential; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; Private non-profit organization; State Substance use treatment agency; State department of health; Federally Qualified Health Center; Federal, or any government funding for substance use treatment programs; Cash or self-payment; Young adults; Adult men; Seniors or older adults; Veterans; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; HIV testing; TB screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Mentoring/peer support; Employment counseling or training; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Young Adults; Adults; Male; Spanish; Sign language services for the deaf and hard of hearing; Vaping not permitted; Domestic violence services, including family or partner; Early intervention for HIV; Social skills development; Integrated primary care services"
Turning Point of Arnold LLC,Arnold,CA,95223,209-822-3117,,http://www.turningpointofarnold.com,38.257174,-120.3508697,Residential/24-hour residential; Long-term residential; Short-term residential,"Substance use treatment; Residential/24-hour residential; Long-term residential; Short-term residential; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; 12-step facilitation; Private for-profit organization; State department of health; IHS/Tribal/Urban (ITU) funds; Private health insurance; Cash or self-payment; Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; Treatment for gambling disorder; HIV or AIDS education, counseling, or support; Substance use disorder education; Individual counseling; Group counseling; Family counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping not permitted; Social skills development; Transportation assistance"
Progress House Inc,Camino,CA,95709,530-863-5863,,http://www.progresshouseinc.org,38.7492448,-120.6164613,Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient treatment; Long-term residential,"Substance use treatment; Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient treatment; Long-term residential; Buprenorphine used in Treatment; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Buprenorphine maintenance; Prescribes buprenorphine; Accepts clients using MAT but prescribed elsewhere; Buprenorphine with naloxone; Buprenorphine without naloxone; Anger management; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Private non-profit organization; State Substance use treatment agency; Federal, or any government funding for substance use treatment programs; IHS/Tribal/Urban (ITU) funds; Cash or self-payment; Adult women; Pregnant/postpartum women; Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive substance use assessment; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; Discharge Planning; Outcome follow-up after discharge; Self-help groups; Recovery coach; Employment counseling or training; Substance use disorder education; Individual counseling; Group counseling; Smoking not permitted; Young Adults; Adults; Female; Vaping not permitted; Residential beds for clients' children; Case management service"
Ona Treatment Center,Browns Valley,CA,95918,530-713-1993,,https://onatreatmentcenter.com/,39.3059,-121.3357,Residential/24-hour residential; Long-term residential; Short-term residential,"Substance use treatment; Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children; Residential/24-hour residential; Long-term residential; Short-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; This facility administers/prescribes medication for alcohol use disorder; In-network prescribing entity; Other contracted prescribing entity; No formal relationship with prescribing entity; Prescribes buprenorphine; Prescribes naltrexone; Lofexidine or Clonidine detoxification; Acamprosate (Campral®); Disulfiram; Buprenorphine sub-dermal implant; Buprenorphine with naloxone; Buprenorphine without naloxone; Buprenorphine (extended-release, injectable); Naltrexone (oral); Naltrexone (extended-release, injectable); Medications for HIV treatment; Medications for Hepatitis C treatment; Lofexidine; Clonidine; Medication for mental disorders; Medications for pre-exposure to prophylaxis; Nicotine replacement; Non-nicotine smoking/tobacco cessation; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Community reinforcement plus vouchers; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; 12-step facilitation; Private for-profit organization; State department of health; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma; Comprehensive mental health assessment; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; HIV testing; STD testing; TB screening; Metabolic syndrome monitoring; Testing for Hepatitis B (HBV); Testing for Hepatitis C (HCV); Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; Treatment for gambling disorder; Treatment for other addiction disorder; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Vocational training or educational support (for example, high school coursework, GED preparation, etc.) ; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping permitted in designated area; Case management service; Domestic violence services, including family or partner; Mental health services; Social skills development; Transportation assistance; Integrated primary care services; Suicide prevention services"
Restoration Recovery Center,Colfax,CA,95713,888-290-0925,,http://www.restorationrecoverycenter.com,39.0937,-120.9206,Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient detoxification; Hospital inpatient treatment; Residential detoxification; Long-term residential; Short-term residential,"Substance use treatment; Detoxification; Transitional housing, halfway house, or sober home; Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Hospital inpatient detoxification; Hospital inpatient treatment; Residential detoxification; Long-term residential; Short-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; Other contracted prescribing entity; No formal relationship with prescribing entity; This facility administers/prescribes medication for alcohol use disorder; Other contracted prescribing entity; No formal relationship with prescribing entity; Buprenorphine detoxification; Buprenorphine maintenance; Prescribes buprenorphine; Prescribes naltrexone; Relapse prevention with naltrexone; Accepts clients using MAT but prescribed elsewhere; Lofexidine or Clonidine detoxification; Maintenance service with medically supervised withdrawal after stabilization; Acamprosate (Campral®); Buprenorphine with naloxone; Buprenorphine without naloxone; Naltrexone (oral); Medications for HIV treatment; Medications for Hepatitis C treatment; Clonidine; Medication for mental disorders; Nicotine replacement; Non-nicotine smoking/tobacco cessation; Anger management; Brief intervention; Cognitive behavioral therapy; Contingency management/motivational incentives; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; Telemedicine/telehealth therapy; 12-step facilitation; Private for-profit organization; State Substance use treatment agency; State mental health department; State department of health; The Joint Commission; IHS/Tribal/Urban (ITU) funds; Private health insurance; Cash or self-payment; Adult women; Adult men; Seniors or older adults; Veterans; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma; Comprehensive mental health assessment; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug and alcohol oral fluid testing; Drug or alcohol urine screening; TB screening; Metabolic syndrome monitoring; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; Treatment for other addiction disorder; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; Medication routinely used during detoxification; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping permitted in designated area; Case management service; Mental health services; Social skills development; Transportation assistance; Integrated primary care services; Suicide prevention services"
Sierra Health and Wellness Centers,Bangor,CA,95914,888-628-0644,,http://www.sierrahealthwellnesscenters.com,39.3886118,-121.4053135,Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential,"Substance use treatment; Detoxification; Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children; Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential; Buprenorphine used in Treatment; Naltrexone used in Treatment; In-network prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; This facility administers/prescribes medication for alcohol use disorder; In-network prescribing entity; Buprenorphine detoxification; Buprenorphine maintenance; Prescribes buprenorphine; Prescribes naltrexone; Relapse prevention with naltrexone; Accepts clients using MAT but prescribed elsewhere; Lofexidine or Clonidine detoxification; Maintenance service with medically supervised withdrawal after stabilization; Acamprosate (Campral®); Disulfiram; Buprenorphine with naloxone; Buprenorphine without naloxone; Naltrexone (oral); Naltrexone (extended-release, injectable); Medications for HIV treatment; Lofexidine; Clonidine; Medication for mental disorders; Medications for pre-exposure to prophylaxis; Nicotine replacement; Non-nicotine smoking/tobacco cessation; Anger management; Brief intervention; Cognitive behavioral therapy; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Trauma-related counseling; 12-step facilitation; Private for-profit organization; State Substance use treatment agency; State department of health; Commission on Accreditation of Rehabilitation Facilities (CARF); The Joint Commission; Federal, or any government funding for substance use treatment programs; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; Young adults; Adult women; Adult men; Veterans; Clients with co-occurring mental and substance use disorders; Clients who have experienced trauma; Comprehensive mental health assessment; Comprehensive substance use assessment; Outreach to persons in the community; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Professional interventionist/educational consultant; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; TB screening; Metabolic syndrome monitoring; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Treatment for other addiction disorder; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; Medication routinely used during detoxification; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Smoking permitted in designated area; Young Adults; Adults; Seniors; Male; Vaping permitted in designated area; Acupuncture; Case management service; Mental health services; Social skills development; Transportation assistance; Integrated primary care services; Suicide prevention services"
Granite Wellness Centers,Grass Valley,CA,95945,530-271-1140 x247,,http://www.granitewellness.org,39.2183,-120.9247,Residential/24-hour residential; Long-term residential; Short-term residential,Substance use treatment; Residential/24-hour residential; Long-term residential; Short-term residential; Other contracted prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; Other contracted prescribing entity; Accepts clients using MAT but prescribed elsewhere; Cognitive behavioral therapy; Motivational interviewing; Relapse prevention; Substance use disorder counseling; Telemedicine/telehealth therapy; Private non-profit organization; Commission on Accreditation of Rehabilitation Facilities (CARF); Medicaid; Private health insurance; Cash or self-payment; Adult women; Pregnant/postpartum women; Adult men; Comprehensive substance use assessment; Screening for tobacco use; Screening for substance use; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; TB screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Substance use disorder education; Individual counseling; Group counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Vaping permitted in designated area; Residential beds for clients' children; Case management service; Child care for clients' children; Transportation assistance
Sun Street Centers,King City,CA,93930,831-525-8181,,http://www.sunstreetcenters.org,36.2097804,-121.1310993,Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential,"Substance use treatment; Detoxification; Transitional housing, halfway house, or sober home; Residential/24-hour residential; Residential detoxification; Long-term residential; Short-term residential; Other contracted prescribing entity; Accepts clients using medication assisted treatment for alcohol use disorder but prescribed elsewhere; Other contracted prescribing entity; Accepts clients using MAT but prescribed elsewhere; Anger management; Cognitive behavioral therapy; Motivational interviewing; Matrix Model; Relapse prevention; Substance use disorder counseling; Trauma-related counseling; 12-step facilitation; Private non-profit organization; State department of health; Commission on Accreditation of Rehabilitation Facilities (CARF); Federal, or any government funding for substance use treatment programs; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; Sliding fee scale (fee is based on income and other factors); Adult women; Adult men; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients who have experienced sexual abuse; Clients who have experienced trauma; Comprehensive substance use assessment; Interim services for clients; Outreach to persons in the community; Complete medical history/physical exam; Screening for tobacco use; Screening for substance use; Screening for mental disorders; Breathalyzer or blood alcohol testing; Drug or alcohol urine screening; Aftercare/continuing care; Discharge Planning; Naloxone and overdose education; Outcome follow-up after discharge; Self-help groups; Housing services; Assistance with obtaining social services; Recovery coach; Mentoring/peer support; Employment counseling or training; Alcohol Detoxification; Benzodiazepines Detoxification; Cocaine Detoxification; Methamphetamines detoxification; Opioids detoxification; HIV or AIDS education, counseling, or support; Hepatitis education, counseling, or support; Health education services other than HIV/AIDS or hepatitis; Substance use disorder education; Smoking/vaping/tobacco cessation counseling; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Smoking permitted in designated area; Young Adults; Adults; Female; Male; Spanish; Vaping permitted in designated area; Case management service; Early intervention for HIV; Mental health services; Social skills development; Transportation assistance; Integrated primary care services; Suicide prevention services"
